order,fold,ngram_min,ngram_max,c,class_weight,min_df,sublinear_tf,fit_work_groups,holdout_work_groups,fit_documents,holdout_documents,accuracy,macro_f1,balanced_accuracy
45,1,2,5,10.0,balanced,1,True,267,67,270,67,0.9850746268656716,0.9836257309941521,0.9800000000000001
45,2,2,5,10.0,balanced,1,True,267,67,270,67,0.9701492537313433,0.971076711386309,0.9788888888888889
45,3,2,5,10.0,balanced,1,True,267,67,270,67,0.9552238805970149,0.9474956622325044,0.945
45,4,2,5,10.0,balanced,1,True,267,67,270,67,1.0,1.0,1.0
45,5,2,5,10.0,balanced,1,True,268,66,268,69,0.9696969696969697,0.9625,0.96
46,1,2,5,10.0,balanced,2,False,267,67,270,67,0.9850746268656716,0.9822222222222223,0.9800000000000001
46,2,2,5,10.0,balanced,2,False,267,67,270,67,0.9850746268656716,0.9830065359477125,0.9888888888888889
46,3,2,5,10.0,balanced,2,False,267,67,270,67,0.9552238805970149,0.9537112010796222,0.96
46,4,2,5,10.0,balanced,2,False,267,67,270,67,1.0,1.0,1.0
46,5,2,5,10.0,balanced,2,False,268,66,268,69,0.9696969696969697,0.9625,0.96
47,1,2,5,10.0,balanced,2,True,267,67,270,67,0.9850746268656716,0.9836257309941521,0.9800000000000001
47,2,2,5,10.0,balanced,2,True,267,67,270,67,0.9850746268656716,0.9830065359477125,0.9888888888888889
47,3,2,5,10.0,balanced,2,True,267,67,270,67,0.9552238805970149,0.9474956622325044,0.945
47,4,2,5,10.0,balanced,2,True,267,67,270,67,1.0,1.0,1.0
47,5,2,5,10.0,balanced,2,True,268,66,268,69,0.9696969696969697,0.9625,0.96
